Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Iceland,27059,27059,31070,32540,33901,35239,36447,36447,36447,40037,40037,40037,43768,44974,44974,44974,48482,49972,51535,53121,54579,54579,54579,58409,60096,61737,63188,64486,64486,64486,67673
India,34889132,34922882,34960261,35018358,35109286,35226386,35368372,35528004,35707727,35875790,36070510,36317927,36582129,36850962,37122164,37380253,37618271,37901241,38218773,38566027,38903731,39237264,39543328,39799202,40085116,40371500,40622709,40858241,41092522,41302440,41469499
Indonesia,4262994,4263168,4263433,4263732,4264136,4264669,4265187,4265666,4266195,4266649,4267451,4268097,4268890,4269740,4270794,4271649,4272421,4273783,4275528,4277644,4280248,4283453,4286378,4289305,4294183,4301193,4309270,4319175,4330763,4343185,4353370
Iran,6195403,6196913,6198590,6200296,6201467,6203046,6204224,6204925,6206405,6208337,6210298,6212387,6214781,6217320,6218741,6221033,6224196,6227849,6231909,6236567,6241843,6245346,6250490,6258181,6267559,6279410,6293695,6310452,6322183,6344179,6373174
Iraq,2093891,2094097,2094349,2094667,2095183,2095848,2096490,2096806,2097540,2098908,2100518,2102555,2104940,2108206,2110683,2114313,2118779,2125266,2131500,2137267,2144422,2149306,2154237,2159993,2167686,2175793,2183402,2191956,2197783,2203365,2210582
Ireland,811840,811840,845897,867199,884855,908672,930598,956720,978104,978104,1021303,1042212,1061116,1078181,1092736,1103489,1109818,1115585,1122428,1127951,1134548,1141237,1145968,1149660,1153666,1159271,1164536,1169645,1169645,1169645,1183008
Israel,1390053,1395113,1404916,1411798,1429030,1448448,1463193,1485591,1503082,1557597,1589099,1669622,1695505,1718982,1773629,1792130,1792130,1792130,2035425,2103938,2168009,2212589,2212589,2424823,2505466,2599449,2659720,2705096,2759024,2830154,2900569
Italy,6266939,6328076,6396110,6566947,6756035,6975465,7083762,7281297,7436939,7554344,7774863,7971068,8155645,8356514,8549450,8706915,8790302,9018425,9219391,9418256,9603856,9781191,9923678,10001344,10212621,10383561,10539601,10683948,10821375,10925485,10983116
Jamaica,94649,95177,95946,96331,97066,98194,99463,101056,102505,103458,105172,106379,107721,108983,110250,112218,113438,114986,116084,116944,117717,118727,119565,120682,121436,121963,122463,123047,123047,124102,124512
Japan,1733835,1734463,1735244,1736510,1738998,1743442,1749686,1758297,1766539,1772969,1779343,1792578,1811255,1833475,1859208,1884687,1905685,1938027,1979505,2025683,2075528,2129939,2179922,2224761,2287375,2358972,2437984,2519772,2604661,2682767,2743726
Jordan,1064277,1065571,1067253,1069549,1071837,1074007,1076040,1077432,1079781,1082570,1085500,1088329,1091691,1095087,1097474,1100967,1106006,1111181,1117397,1123686,1129995,1134097,1141048,1152526,1164339,1177165,1184856,1189080,1197250,1209083,1225309
Kazakhstan,1072999,1072999,1073786,1073789,1074283,1074283,1074283,1079671,1081758,1083988,1088877,1098060,1108567,1120948,1134598,1146165,1155871,1169932,1185928,1202369,1217538,1231856,1243220,1252265,1264299,1278057,1290763,1302516,1312308,1319814,1325293
Kenya,297155,298509,299732,302134,304350,306686,309130,310797,311538,312572,313677,314490,315665,316700,317324,317634,317857,318249,319011,319379,319838,320138,320229,320399,320584,320766,320918,321111,321234,321335,321381
Kiribati,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37,37,39,39,39,59,66,116,181,201,266,364,460
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",639083,642207,645226,649669,653792,657508,661015,664391,667390,670483,674868,679030,683566,687984,692174,696032,700102,705902,712503,719269,726274,733902,741413,749979,762983,777497,793582,811122,828637,845709,864042
Kosovo,161531,161560,161598,161706,161813,161965,162109,162373,162677,162913,163269,163693,164120,164705,165363,166134,166862,167582,169632,172340,175283,178489,181446,183689,186396,190793,194710,198327,201955,204345,205938
Kuwait,417723,418332,419314,420796,423042,425455,428100,430920,433919,437602,441999,446547,451430,456311,460828,465331,470478,475303,479640,484150,488959,493107,497454,502630,508372,514826,521341,528254,534062,539654,545717
Kyrgyzstan,184748,184786,184827,184879,185031,185237,185484,185677,185867,186065,186878,187620,187620,188206,188813,189687,190468,191288,192158,193028,193816,194607,195394,195820,196232,196602,197081,197437,197437,198111,198316
Laos,112083,112767,113432,113951,114787,114787,116890,117956,118880,119521,120520,121436,122241,123293,124193,124731,125333,126066,127347,128248,128924,129536,129953,130293,130853,131432,132130,132681,133218,133524,133853
Latvia,276841,277021,277692,279320,281155,283149,285026,286841,287851,288715,290956,293395,295961,298589,301654,303794,305354,309060,314142,319027,324999,330788,335541,339494,345591,354734,363821,372503,382129,388989,392764
Lebanon,731288,732733,735727,740814,746632,753879,761853,769400,774180,780833,787498,794744,801801,808612,814631,820170,826279,833871,840514,847624,853252,858848,865229,866894,874144,882783,891982,900098,907824,914929,921208
