Country_Region,2022/05/01,2022/05/02,2022/05/03,2022/05/04,2022/05/05,2022/05/06,2022/05/07,2022/05/08,2022/05/09,2022/05/10,2022/05/11,2022/05/12,2022/05/13,2022/05/14,2022/05/15,2022/05/16,2022/05/17,2022/05/18,2022/05/19,2022/05/20,2022/05/21,2022/05/22,2022/05/23,2022/05/24,2022/05/25,2022/05/26,2022/05/27,2022/05/28,2022/05/29,2022/05/30,2022/05/31
Liberia,7434,7434,7434,7434,7434,7434,7434,7434,7434,7434,7434,7451,7451,7451,7451,7452,7452,7452,7455,7455,7455,7455,7455,7455,7455,7455,7455,7455,7455,7455,7456
Libya,501904,501916,501916,501916,501916,501916,501916,501916,501919,501919,501919,501919,501919,501919,501919,501954,501954,501954,501954,501954,501954,501987,501987,501987,501987,501987,501987,501987,501987,502016,502016
Liechtenstein,17185,17199,17214,17225,17230,17260,17265,17280,17281,17292,17306,17306,17329,17333,17347,17347,17361,17376,17377,17392,17392,17428,17407,17417,17428,17428,17428,17428,17428,17463,17469
Lithuania,1150264,1150382,1150650,1150900,1151115,1151312,1151530,1151567,1151585,1151887,1152124,1152359,1152528,1152712,1152747,1152768,1153053,1153258,1153442,1153586,1153751,1153786,1153803,1154054,1154219,1154388,1154518,1154667,1154694,1154707,1154914
Luxembourg,237856,238917,239335,240132,240675,241160,241160,241686,242165,242178,242194,242700,243569,244182,244620,244866,244882,245318,245750,246081,246342,246579,246748,246761,247022,247257,247502,247539,247760,247920,247935
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,64152,64181,64181,64181,64181,64181,64181,64236,64236,64236,64236,64236,64236,64236,64276,64276,64276,64276,64276,64276,64276,64314,64314,64314,64314,64314,64314,64314,64377,64377,64377
Malawi,85781,85790,85790,85795,85797,85800,85811,85811,85811,85825,85842,85855,85866,85887,85888,85889,85895,85898,85909,85918,85929,85943,85935,85943,85943,85943,85964,85964,85973,85978,85985
Malaysia,4449507,4450859,4451781,4452835,4454113,4455364,4456736,4458889,4461135,4463740,4467061,4470471,4473500,4475873,4478112,4479809,4481278,4483295,4485419,4487482,4489503,4497212,4492864,4494782,4497212,4499057,4500934,4502579,4503734,4505059,4506510
Maldives,179171,179171,179171,179171,179414,179414,179414,179414,179483,179483,179483,179483,179483,179483,179483,179560,179560,179560,179560,179560,179560,179662,179662,179662,179662,179662,179662,179662,179662,179753,179753
Mali,30843,30850,30860,30874,30888,30907,30927,30937,30940,30950,30960,30978,30991,31003,31004,31014,31023,31041,31043,31048,31054,31069,31057,31058,31069,31071,31082,31088,31096,31097,31097
Malta,91861,91975,92150,92308,92475,92597,92729,92848,92953,93041,93149,93249,93360,93446,93508,93572,93682,93758,93843,93912,93985,94264,94113,94205,94264,94354,94440,94513,94579,94643,94742
Marshall Islands,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Mauritania,58688,58694,58695,58699,58707,58719,58736,58743,58757,58778,58787,58805,58822,58840,58853,58871,58909,58920,58939,58972,59003,59083,59047,59068,59083,59089,59102,59112,59123,59127,59141
Mauritius,220344,221749,221749,222848,222848,222848,222848,222848,222848,222848,222848,223793,223793,223793,223793,223793,223793,223793,224722,224722,224722,224722,224722,224722,224722,225862,225862,225862,225862,225862,225862
Mexico,5739680,5740080,5739680,5739680,5739680,5739680,5739680,5739680,5745652,5745652,5745652,5745652,5745652,5745652,5745652,5752441,5752441,5752441,5752441,5752441,5752441,5759773,5759773,5759773,5759773,5759773,5759773,5759773,5759773,5772996,5775977
Micronesia,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,7,7,30,30,30,30,30,30,30
Moldova,516986,516986,516986,516986,517753,517753,517753,517753,517753,518166,518166,518166,518166,518166,518166,518166,518166,518492,518492,518492,518492,518793,518492,518793,518793,518793,518793,518793,518793,518793,518793
Monaco,11771,11801,11824,11869,11898,11917,11925,11925,11946,11972,11985,12000,12002,12004,12006,12035,12060,12071,12085,12099,12109,12112,12124,12137,12152,12162,12162,12168,12170,12186,12216
