Country_Region,2022/06/01,2022/06/02,2022/06/03,2022/06/04,2022/06/05,2022/06/06,2022/06/07,2022/06/08,2022/06/09,2022/06/10,2022/06/11,2022/06/12,2022/06/13,2022/06/14,2022/06/15,2022/06/16,2022/06/17,2022/06/18,2022/06/19,2022/06/20,2022/06/21,2022/06/22,2022/06/23,2022/06/24,2022/06/25,2022/06/26,2022/06/27,2022/06/28,2022/06/29,2022/06/30
Chad,7417,7417,7417,7417,7417,7418,7418,7418,7418,7418,7418,7418,7420,7420,7420,7420,7420,7420,7420,7424,7424,7424,7424,7424,7424,7424,7425,7425,7425,7425
Chile,3710521,3720334,3729906,3739796,3748619,3756220,3760891,3771509,3783945,3796909,3808970,3820009,3829119,3834020,3844668,3857643,3870747,3882425,3893726,3901215,3906107,3915653,3924247,3935375,3948012,3959325,3967774,3973291,3979797,3990693
China,2097282,2097925,2098595,2099041,2099865,2100607,2101049,2101560,2102379,2103227,2104341,2105331,2106288,2107342,2108598,2109935,2111214,2112692,2114127,2115561,2116897,2118491,2120269,2122283,2124209,2126233,2128225,2130033,2132190,2134718
Colombia,6103455,6109105,6109105,6109105,6109105,6109105,6109105,6109105,6117847,6117847,6117847,6117847,6117847,6117847,6117847,6131657,6131657,6131657,6131657,6131657,6131657,6131657,6151354,6151354,6151354,6151354,6151354,6151354,6151354,6175181
Comoros,8120,8126,8126,8126,8126,8126,8126,8126,8126,8131,8131,8131,8131,8131,8131,8131,8131,8131,8131,8131,8131,8131,8136,8136,8136,8136,8136,8139,8139,8139
Congo (Brazzaville),24079,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128
Congo (Kinshasa),88374,89189,89189,89189,89189,89189,89189,89189,89189,89932,89932,89932,89932,89932,89932,89932,89932,89932,89932,90561,90561,90561,91082,91082,91082,91082,91082,91082,91082,91082
Costa Rica,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934
Cote d'Ivoire,82226,82226,82242,82280,82305,82309,82309,82347,82364,82393,82467,82487,82492,82492,82580,82614,82659,82659,82724,82743,82805,82842,82905,82953,82999,83049,83049,83049,83309,83463
Croatia,1136706,1137192,1137597,1137864,1138046,1138076,1138278,1138702,1139034,1139319,1139612,1139816,1139835,1140078,1140625,1141047,1141115,1141546,1141919,1141948,1142345,1143179,1143354,1143966,1145053,1145490,1145521,1146183,1147380,1148528
Cuba,1105360,1105389,1105419,1105443,1105461,1105477,1105490,1105517,1105546,1105577,1105592,1105612,1105631,1105643,1105664,1105681,1105707,1105729,1105753,1105778,1105795,1105817,1105846,1105875,1105896,1105924,1105950,1105978,1105989,1106023
Cyprus,489963,489963,491777,491777,491777,491777,491777,491777,491777,493984,493984,493984,493984,493984,493984,493984,497454,497454,497454,497454,497454,497454,497454,504717,504717,504717,504717,504717,504717,504717
