Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
Bhutan,13137,13535,13846,14120,14451,14798,15119,15560,15946,16277,16666,17150,17620,18652,19435,20116,20722,21310,21660,22004,22385,22625,23155,23814,24316,24761,25080,25080,25876,26963,28101
Bolivia,893512,893775,894200,894200,894551,895098,895098,895424,896315,896744,897098,897351,897489,897489,897970,898464,898941,899524,899524,899697,899999,899999,900260,900557,900845,901108,901367,901587,901752,901943,901943
Bosnia and Herzegovina,371381,371553,371846,372139,372139,372139,372478,372645,372817,372962,373105,373105,373105,373359,373506,373670,373799,373985,373985,373985,374276,374426,374573,374696,374810,374810,374810,375054,375222,375332,375440
Botswana,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,263950,305526,305526
Brazil,28818850,28846495,28906672,28978052,29040800,29056525,29077831,29152318,29198101,29259206,29313228,29361024,29374833,29391345,29441039,29488777,29532810,29584800,29624435,29637814,29650082,29691641,29738362,29775568,29809769,29839103,29849740,29857641,29887191,29920604,29951670
Brunei,67762,71649,76534,80749,84844,88849,93034,97018,100173,104022,106936,109538,112093,114371,116924,118892,120600,121957,123422,124716,126109,127300,128306,129081,129837,130611,131403,132194,132981,133726,134412
Bulgaria,1093920,1096194,1097298,1099423,1100811,1101326,1103788,1105968,1107888,1109581,1111216,1112176,1112699,1115132,1117525,1119474,1121194,1122795,1123714,1124186,1126146,1128089,1129641,1131065,1132398,1133102,1133464,1134906,1136604,1137780,1138923
Burkina Faso,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20751,20806,20813,20813,20813,20813,20813,20813,20813,20822,20822,20853,20853,20853,20853,20853
Burma,590237,592139,593958,595821,597417,598446,599619,601020,602321,603263,604219,604860,605347,606227,606910,607399,607844,608384,608763,608990,609288,609648,609915,610176,610493,610728,610858,611021,611275,611448,611587
Burundi,38127,38127,38134,38150,38150,38150,38178,38178,38209,38238,38248,38248,38248,38274,38279,38296,38296,38308,38308,38308,38372,38372,38406,38406,38440,38440,38440,38463,38482,38490,38509
Cabo Verde,55887,55889,55889,55890,55892,55895,55898,55903,55904,55906,55906,55906,55906,55907,55911,55914,55917,55921,55925,55925,55927,55931,55934,55941,55945,55947,55948,55949,55950,55950,55952
Cambodia,130589,131004,131372,131738,132072,132402,132708,133065,133263,133501,133738,133943,134068,134213,134352,134492,134624,134772,134889,134986,135085,135158,135222,135285,135344,135402,135461,135513,135552,135585,135625
Cameroon,119240,119240,119322,119322,119322,119322,119322,119322,119322,119322,119322,119322,119322,119322,119322,119414,119414,119414,119414,119544,119544,119544,119544,119544,119544,119544,119544,119544,119544,119544,119544
Canada,3307510,3313423,3321778,3331281,3334478,3337091,3345546,3349699,3356440,3362047,3370105,3371929,3373322,3377844,3386875,3392165,3396364,3399704,3402711,3404964,3413117,3422583,3429407,3436460,3445404,3449778,3453432,3459582,3470143,3481119,3489910
Central African Republic,14225,14225,14225,14320,14320,14320,14320,14320,14320,14320,14320,14320,14320,14320,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
Chad,7257,7257,7257,7257,7257,7257,7258,7258,7260,7260,7260,7260,7260,7267,7269,7269,7269,7269,7269,7269,7286,7288,7288,7288,7288,7288,7288,7308,7310,7310,7310
Chile,3061019,3098110,3122802,3147434,3168335,3188448,3202562,3214326,3230793,3249890,3269062,3286476,3301747,3313242,3323324,3336614,3353259,3368704,3381681,3392978,3401145,3406540,3415989,3426147,3434908,3443018,3450094,3455060,3458499,3464425,3470936
China,456582,533295,610697,683791,751844,792163,829306,868818,899945,932696,963302,992569,1028437,1057573,1090400,1123895,1147435,1171570,1193563,1210422,1228883,1249958,1266606,1283788,1299036,1313471,1327092,1340972,1355883,1371807,1385495
Colombia,6065801,6067023,6068074,6069425,6070616,6071704,6072656,6073416,6074155,6074874,6075656,6076333,6076819,6077288,6077861,6078487,6079231,6079896,6080589,6081131,6081639,6081933,6082226,6082577,6082943,6083291,6083643,6083939,6084240,6084551,6084916
